invoice_id,supplier_gstin,receiver_gstin,invoice_date,total_value,tax_amount
INV80,76kobvk79549xZ4,63yodbq45130rZ0,2026-02-01,99325.51,17878.59
INV81,20KMNPq70481YZ1,78XmDYI67103UZ7,2026-01-30,75502.98,13590.54
INV82,50OfAXd26417TZ2,78XmDYI67103UZ7,2026-01-14,15484.88,2787.28
INV83,38PMJmX20323hZ3,29sblYP36116dZ1,2026-02-15,62163.68,11189.46
INV84,38PMJmX20323hZ3,76kobvk79549xZ4,2026-02-17,61250.72,11025.13
INV85,80lUEqp03339hZ0,38PMJmX20323hZ3,2026-01-16,24526.64,4414.8
INV86,77uWbvb29064hZ5,87coKkW72005VZ3,2026-02-25,36245.25,6524.14
INV87,61BnfeY02186qZ9,90NIDfc03840QZ6,2026-01-13,54198.39,9755.71
INV88,80EmjMc45920lZ1,13CZMad85948AZ4,2026-01-13,74781.97,13460.75
INV89,78XmDYI67103UZ7,61SAMWX15483uZ3,2026-02-22,42298.59,7613.75
INV90,76kobvk79549xZ4,65zknwJ87656nZ8,2026-02-26,16644.08,2995.93
INV91,63iSfMS96604HZ0,65zknwJ87656nZ8,2026-01-05,91747.26,16514.51
INV92,41inREV55595IZ4,25UuAAm06137PZ8,2026-02-06,89808.8,16165.58
INV93,90NIDfc03840QZ6,54dpxbL00089WZ7,2026-02-07,36714.98,6608.7
INV94,61SAMWX15483uZ3,61BnfeY02186qZ9,2026-02-13,66587.74,11985.79
INV95,63iSfMS96604HZ0,60dZnuO59462HZ6,2026-02-06,43886.89,7899.64
INV96,82MYzmL66699iZ3,26fMqhX63048gZ9,2026-02-04,46037.1,8286.68
INV97,77YYbzq29297jZ7,80EmjMc45920lZ1,2026-01-11,54539.34,9817.08
INV98,41inREV55595IZ4,20KMNPq70481YZ1,2026-02-03,17437.06,3138.67
INV99,26fMqhX63048gZ9,26BUvmE94128AZ8,2026-01-18,51857.26,9334.31
INV100,61SAMWX15483uZ3,73AELsv87920wZ1,2026-01-01,62638.03,11274.85
