invoice_id,supplier_gstin,receiver_gstin,invoice_date,total_value,tax_amount
INV58,14SxYkR11289TZ8,50OfAXd26417TZ2,2026-02-12,34293.36,6172.8
INV59,61SAMWX15483uZ3,50OfAXd26417TZ2,2026-01-07,42565.86,7661.85
INV60,38PMJmX20323hZ3,60dZnuO59462HZ6,2026-01-07,59688.88,10744.0
INV61,77YYbzq29297jZ7,14IKVtt15081YZ4,2026-02-13,86776.99,15619.86
INV62,35Syfnw01275iZ2,63msqlN95515SZ9,2026-02-17,26084.65,4695.24
INV63,50jflNb78705MZ7,82vQobC23384DZ4,2026-01-12,23331.75,4199.72
INV64,63msqlN95515SZ9,63EUycI63969xZ9,2026-01-24,48114.74,8660.65
INV65,87coKkW72005VZ3,54CSmUz75550cZ2,2026-02-06,22914.15,4124.55
INV66,63EUycI63969xZ9,80EmjMc45920lZ1,2026-02-20,31424.77,5656.46
INV67,54CSmUz75550cZ2,61BnfeY02186qZ9,2026-01-24,92076.11,16573.7
INV68,90NIDfc03840QZ6,25Gbpsc49807fZ9,2026-02-18,70215.59,12638.81
INV69,29sblYP36116dZ1,26BUvmE94128AZ8,2026-02-18,81498.94,14669.81
INV70,38PMJmX20323hZ3,82MYzmL66699iZ3,2026-01-20,83994.48,15119.01
INV71,50jflNb78705MZ7,12kZyob22184CZ2,2026-02-19,10016.61,1802.99
INV72,26BUvmE94128AZ8,63msqlN95515SZ9,2026-01-10,57849.28,10412.87
INV73,60dZnuO59462HZ6,35Syfnw01275iZ2,2026-02-22,52446.17,9440.31
INV74,25UuAAm06137PZ8,90UnPeB57155WZ5,2026-01-16,71986.67,12957.6
INV75,82vQobC23384DZ4,50OfAXd26417TZ2,2026-01-10,99777.86,17960.01
INV76,63msqlN95515SZ9,61SAMWX15483uZ3,2026-02-09,87963.88,15833.5
INV77,20KMNPq70481YZ1,29sblYP36116dZ1,2026-01-09,35004.97,6300.89
INV78,26BUvmE94128AZ8,44btWfP64914fZ4,2026-01-15,16818.87,3027.4
INV79,63iSfMS96604HZ0,14SxYkR11289TZ8,2026-01-08,30300.77,5454.14
INV80,87coKkW72005VZ3,13CZMad85948AZ4,2026-02-20,31127.06,5602.87
INV81,14WQpYv87024mZ8,73AELsv87920wZ1,2026-01-03,83590.04,15046.21
INV82,12kZyob22184CZ2,76kobvk79549xZ4,2026-01-20,49819.16,8967.45
INV83,38uUzsx07313oZ8,47YKCqh16071AZ5,2026-02-11,79660.77,14338.94
INV84,50jflNb78705MZ7,61SAMWX15483uZ3,2026-02-04,81191.28,14614.43
INV85,63msqlN95515SZ9,66LIkMl34987BZ4,2026-02-03,31135.09,5604.32
INV86,40ZyVzC17395UZ9,63iSfMS96604HZ0,2026-01-13,89311.82,16076.13
INV87,20KMNPq70481YZ1,89OgTXc98031fZ6,2026-02-21,52530.2,9455.44
INV88,14WQpYv87024mZ8,77uWbvb29064hZ5,2026-02-17,52518.94,9453.41
INV89,76kobvk79549xZ4,25MmruU49645dZ9,2026-01-20,43613.85,7850.49
INV90,38uUzsx07313oZ8,63yodbq45130rZ0,2026-02-26,72713.18,13088.37
INV91,89OgTXc98031fZ6,90UnPeB57155WZ5,2026-01-15,12248.3,2204.69
INV92,67KXgzI20045oZ8,54dpxbL00089WZ7,2026-01-25,42556.39,7660.15
INV93,40ZyVzC17395UZ9,80EmjMc45920lZ1,2026-01-07,70824.65,12748.44
INV94,14IKVtt15081YZ4,20MoJSF24057OZ4,2026-01-07,94590.21,17026.24
INV95,50jflNb78705MZ7,77uWbvb29064hZ5,2026-02-11,73259.77,13186.76
INV96,73AELsv87920wZ1,63EUycI63969xZ9,2026-02-17,47385.37,8529.37
INV97,65zknwJ87656nZ8,76kobvk79549xZ4,2026-01-14,50841.95,9151.55
INV98,65zknwJ87656nZ8,67KXgzI20045oZ8,2026-01-17,92032.46,16565.84
INV99,41inREV55595IZ4,29vpUPX48774aZ3,2026-01-21,79039.5,14227.11
INV100,77YYbzq29297jZ7,39iHbsL80634FZ5,2026-02-22,78615.5,14150.79
CIR1,61BnfeY02186qZ9,14IKVtt15081YZ4,2026-01-15,50000.0,9000.0
CIR2,14IKVtt15081YZ4,47YKCqh16071AZ5,2026-01-04,50000.0,9000.0
CIR3,47YKCqh16071AZ5,61BnfeY02186qZ9,2026-02-15,50000.0,9000.0
CIR4,54CSmUz75550cZ2,63yodbq45130rZ0,2026-02-25,50000.0,9000.0
CIR5,63yodbq45130rZ0,74kpfRL49527uZ1,2026-01-16,50000.0,9000.0
CIR6,74kpfRL49527uZ1,54CSmUz75550cZ2,2026-02-27,50000.0,9000.0
CIR7,74kpfRL49527uZ1,26fMqhX63048gZ9,2026-02-03,50000.0,9000.0
CIR8,26fMqhX63048gZ9,41inREV55595IZ4,2026-01-11,50000.0,9000.0
CIR9,41inREV55595IZ4,74kpfRL49527uZ1,2026-01-21,50000.0,9000.0
